,name,latitude,longitude
0,Xi dan,39.91111293,116.3734895
1,Beijing Railway Station,39.90395073,116.4273089
2,Wangfujing Avenue,39.91200279,116.4108606
3,Tiananmen Square,39.90904364,116.3972603
4,798 Art Zone,39.99205561,116.495516
5,Zhongguancun Plaza,39.98047438,116.31569
6,Beijing West railway station,39.89669795,116.3201786
7,People's Revolution Military Museum,39.90976834,116.3236627
8,Jianwai SOHO,39.90583873,116.4596768
9,Houhai,39.94482167,116.3806565
10,The Palace Museum,39.91742158,116.3974425
11,Temple of Heaven,39.88456465,116.4128809
